"","Component","Term","Estimate","Std..Error","t.value","Pr...t..","Distribution","Component.1","Term.1","Estimate.1","Std..Error.1","t.value.1","Pr...t...1","Distribution.1","Component.2","Term.2","Estimate.2","Std..Error.2","t.value.2","Pr...t...2","Distribution.2","Component.3","Term.3","Estimate.3","Std..Error.3","t.value.3","Pr...t...3","Distribution.3"
"1","Policy","(Intercept)",-0.187700782680384,12.8270560346882,-0.0146331926961872,0.988341115120217,"Quasibinomial (dispersion = 1)","Legislation","(Intercept)",26.2287891640842,15.1560578380538,1.73058122661877,0.0852402715352194,"Quasibinomial (dispersion = 2)","Interest","(Intercept)",23.6770123267182,30.5508246040238,0.775004034542482,0.439777870989367,"Quasibinomial (dispersion = 19)","Support","(Intercept)",156.384580635359,80.6983377988434,1.93789097645579,0.0548558807906307,"Quasibinomial (dispersion = 1,491)"
"2","Policy","prop_pub",2.65159065892056,0.948736618928599,2.79486488243174,0.00575843003980746,"Quasibinomial (dispersion = 1)","Legislation","prop_pub",3.13869114288218,0.959931509069762,3.26970321655946,0.00128996136345402,"Quasibinomial (dispersion = 2)","Interest","prop_pub",-3.08397780297225,4.04068124781304,-0.763232141768522,0.44674041174714,"Quasibinomial (dispersion = 19)","Support","prop_pub",-15.4868527636751,9.08116954060057,-1.70538086470423,0.0905681480252838,"Quasibinomial (dispersion = 1,491)"
"3","Policy","oro_typeMRE-Located",-3.09794393578197,1.02103231126,-3.03412918633199,0.00277152273598354,"Quasibinomial (dispersion = 1)","Legislation","oro_typeMRE-Located",-4.66979892999884,1.75847318143104,-2.65559860639931,0.00862713094782397,"Quasibinomial (dispersion = 2)","Interest","oro_typeMRE-Located",-3.44303083807175,2.09628382275967,-1.64244497843767,0.102971641441563,"Quasibinomial (dispersion = 19)","Support","oro_typeMRE-Located",-8.55534873644334,4.68283087966165,-1.82696086113225,0.0700537388091993,"Quasibinomial (dispersion = 1,491)"
"4","Policy","oro_typeMRE-Bio",-0.915481591006171,0.674018721718398,-1.35824356432143,0.176095830570832,"Quasibinomial (dispersion = 1)","Legislation","oro_typeMRE-Bio",-3.34235402152175,1.36268521078307,-2.45277045283339,0.0151291870977603,"Quasibinomial (dispersion = 2)","Interest","oro_typeMRE-Bio",-4.19054890154253,1.97655016954187,-2.12013282845931,0.0359402014440155,"Quasibinomial (dispersion = 19)","Support","oro_typeMRE-Bio",-10.9473647468139,5.11860509284497,-2.13873986139634,0.0343709865377208,"Quasibinomial (dispersion = 1,491)"
"5","Policy","oro_typeEfficiency",2.66847179890401,0.598891291265992,4.45568642893962,1.47059338997097e-05,"Quasibinomial (dispersion = 1)","Legislation","oro_typeEfficiency",0.110806938899854,0.676231717014438,0.163859422904721,0.870025653658891,"Quasibinomial (dispersion = 2)","Interest","oro_typeEfficiency",-4.16865444929068,2.32153522043772,-1.79564557650979,0.0749286701679787,"Quasibinomial (dispersion = 19)","Support","oro_typeEfficiency",-9.86194464944822,5.60211361751115,-1.76039711487137,0.0807478022000097,"Quasibinomial (dispersion = 1,491)"
"6","Policy","oro_typeCCS",0.959061670497131,0.500059178590995,1.91789634418762,0.0567160111620999,"Quasibinomial (dispersion = 1)","Legislation","oro_typeCCS",-0.153595186470505,0.560115414782587,-0.274220602427313,0.784229541905989,"Quasibinomial (dispersion = 2)","Interest","oro_typeCCS",-1.14724088524699,1.92146501166515,-0.597065717190858,0.551526470759444,"Quasibinomial (dispersion = 19)","Support","oro_typeCCS",-4.611823966196,4.48301324779464,-1.028733066641,0.30556040467601,"Quasibinomial (dispersion = 1,491)"
"7","Policy","oro_typeCDR-BioPump",-0.0224666455570727,0.49144213067112,-0.0457157499427082,0.963587771518009,"Quasibinomial (dispersion = 1)","Legislation","oro_typeCDR-BioPump",-0.428596718255738,0.529058942218108,-0.810111471623224,0.418945813191134,"Quasibinomial (dispersion = 2)","Interest","oro_typeCDR-BioPump",-1.14097181712643,1.9165031031805,-0.595340448566428,0.552675301365424,"Quasibinomial (dispersion = 19)","Support","oro_typeCDR-BioPump",-7.31433865847128,4.47918686753542,-1.6329612661362,0.104954027677009,"Quasibinomial (dispersion = 1,491)"
"8","Policy","oro_typeCDR-BC",1.3487469770271,0.521553077163834,2.58602055300198,0.0105040642616282,"Quasibinomial (dispersion = 1)","Legislation","oro_typeCDR-BC",-0.233404387577795,0.568364537250809,-0.410659659919629,0.681810540761974,"Quasibinomial (dispersion = 2)","Interest","oro_typeCDR-BC",-2.28924330291128,1.98060104906353,-1.15583262161437,0.24991942432136,"Quasibinomial (dispersion = 19)","Support","oro_typeCDR-BC",-8.66321795182295,4.66136663462645,-1.85851460116207,0.0654110368512344,"Quasibinomial (dispersion = 1,491)"
"9","Policy","oro_typeCDR-OAE",-1.29111378160362,0.60689810814924,-2.12739793429399,0.0347562147762265,"Quasibinomial (dispersion = 1)","Legislation","oro_typeCDR-OAE",-0.25142666676859,0.532174650117842,-0.472451415551108,0.637176921037333,"Quasibinomial (dispersion = 2)","Interest","oro_typeCDR-OAE",-1.44300068868563,1.96774477180476,-0.733327161815883,0.464710411382235,"Quasibinomial (dispersion = 19)","Support","oro_typeCDR-OAE",-9.71212282971373,4.5583119267395,-2.13064024266121,0.035046632494648,"Quasibinomial (dispersion = 1,491)"
"10","Policy","year",-0.00131878234393066,0.00625853621708681,-0.210717378343226,0.833347496502948,"Quasibinomial (dispersion = 1)","Legislation","year",-0.0141571461165925,0.00738853320478621,-1.91609697408163,0.0569373595666972,"Quasibinomial (dispersion = 2)","Interest","year",-0.0119625588362016,0.0148275651890781,-0.806778367429684,0.421302467216339,"Quasibinomial (dispersion = 19)","Support","year",-0.0745434230128035,0.0394007172210853,-1.89193061117455,0.0607771094979176,"Quasibinomial (dispersion = 1,491)"
"11","Policy","prop_pub:oro_typeMRE-Located",4.74239263328442,3.07142626703638,1.54403596927637,0.124345690822716,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeMRE-Located",4.62829951634759,5.58250162851228,0.829072667477397,0.408161348407243,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeMRE-Located",10.3915327890126,4.72243839298403,2.2004591535701,0.0295826205016119,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeMRE-Located",22.0024884304115,10.3214982210991,2.13171459792863,0.0349563581008508,"Quasibinomial (dispersion = 1,491)"
"12","Policy","prop_pub:oro_typeMRE-Bio",-82.3109080134667,38.7724724230885,-2.12292131167915,0.0351349531247473,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeMRE-Bio",-23.4464321397257,108.176566986049,-0.216742246430777,0.828654678341692,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeMRE-Bio",171.53531659835,46.4766056854648,3.69078838844715,0.000330459497593662,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeMRE-Bio",126.587760587971,214.838693947643,0.589222352184013,0.556758800031584,"Quasibinomial (dispersion = 1,491)"
"13","Policy","prop_pub:oro_typeEfficiency",-3.21183608485283,3.26900555216476,-0.982511664052065,0.32717395442902,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeEfficiency",16.3979741353437,4.30484221972901,3.80919283410483,0.000191133174498513,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeEfficiency",30.8195085345225,12.8386601295013,2.40052374808987,0.0178221928660861,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeEfficiency",30.5995487508,33.8323774746394,0.904445712505346,0.36747160735192,"Quasibinomial (dispersion = 1,491)"
"14","Policy","prop_pub:oro_typeCCS",-18.0656242661516,4.08609321459791,-4.42124624117987,1.69846927518651e-05,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeCCS",-14.189532268595,5.36301552010664,-2.64581227024172,0.00887088317298143,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeCCS",0.69865205609688,10.3247718468939,0.0676675539621788,0.946156695863015,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeCCS",-60.9066885054283,30.1956194589482,-2.01707034320766,0.0457964047445624,"Quasibinomial (dispersion = 1,491)"
"15","Policy","prop_pub:oro_typeCDR-BioPump",-0.187418214643501,10.7426424706019,-0.0174461930718057,0.986100088701104,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeCDR-BioPump",-26.0783615722292,14.7699486399958,-1.76563657788296,0.0791522845819997,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeCDR-BioPump",5.43335713142205,34.1811452278702,0.158957726407361,0.873954684143914,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeCDR-BioPump",-153.160645448093,144.45254830824,-1.06028344423022,0.291027952573206,"Quasibinomial (dispersion = 1,491)"
"16","Policy","prop_pub:oro_typeCDR-BC",0.30785897159387,2.68681680672101,0.114581303356361,0.908905423904322,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeCDR-BC",7.83610373274394,4.11859214083964,1.90261707515094,0.0586869909204545,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeCDR-BC",3.61751732681036,9.42167810533101,0.383956794784092,0.701652542713655,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeCDR-BC",27.0544324851012,22.4022806748582,1.20766420516568,0.229420662533231,"Quasibinomial (dispersion = 1,491)"
"17","Policy","prop_pub:oro_typeCDR-OAE",-147.260322040799,112.440289191595,-1.30967576746332,0.191983976091245,"Quasibinomial (dispersion = 1)","Legislation","prop_pub:oro_typeCDR-OAE",2.1805393250577,37.5941660481385,0.0580020666575119,0.953811321396174,"Quasibinomial (dispersion = 2)","Interest","prop_pub:oro_typeCDR-OAE",51.6906789889762,54.9010363993966,0.941524648331491,0.348223548392453,"Quasibinomial (dispersion = 19)","Support","prop_pub:oro_typeCDR-OAE",392.756636850436,192.193367802684,2.04354937603081,0.0430662077957165,"Quasibinomial (dispersion = 1,491)"
