"","component","term","Estimate","Std. Error","z value","Pr(>|z|)","family"
"1",NA,"(Intercept)",139.24232039638,9.22153786925213,15.0996853638332,1.62707929973821e-51,"Poisson"
"2",NA,"publications",-0.000505310245055921,7.90691702814481e-05,-6.39073665826087,1.65088482906615e-10,"Poisson"
"3",NA,"oro_typeMRE-Located",-1.50716800849397,0.137254458302932,-10.9808309845027,4.72556693926081e-28,"Poisson"
"4",NA,"oro_typeMRE-Bio",0.742682687879861,0.231344723707056,3.21028582791582,0.00132603043797411,"Poisson"
"5",NA,"oro_typeEfficiency",2.26068763448043,0.0898558362999322,25.1590517385473,1.12502245760778e-139,"Poisson"
"6",NA,"oro_typeCCS",0.937299632111848,0.115559270337005,8.11098607128967,5.02106115800668e-16,"Poisson"
"7",NA,"oro_typeCDR-BioPump",2.14930805056604,0.121245019192422,17.7269801669542,2.59609180061953e-70,"Poisson"
"8",NA,"oro_typeCDR-BC",2.05624941946064,0.104069284054669,19.7584660847716,6.78350119189612e-87,"Poisson"
"9",NA,"oro_typeCDR-OAE",2.0927913784933,0.21984972545096,9.51919032057248,1.74533585471462e-21,"Poisson"
"10",NA,"year",-0.070747211859678,0.00461152158718309,-15.3414031620946,4.04359117165951e-53,"Poisson"
"11",NA,"(Intercept)",221.002984917273,9.74368060453168,22.6816737829529,6.79545997774896e-114,"Poisson"
"12",NA,"publications",-0.000376151092959604,7.18980088923771e-05,-5.23173170932533,1.67929363601557e-07,"Poisson"
"13",NA,"oro_typeMRE-Located",-2.35396273846507,0.22760002847398,-10.3425414937248,4.52378270096204e-25,"Poisson"
"14",NA,"oro_typeMRE-Bio",-0.262039131690008,0.455667838844413,-0.575066110337185,0.565246586767657,"Poisson"
"15",NA,"oro_typeEfficiency",1.6051872378586,0.0798330354902574,20.1068045076964,6.43374356598965e-90,"Poisson"
"16",NA,"oro_typeCCS",0.147625812749526,0.122760307387761,1.20255329992962,0.229149228645027,"Poisson"
"17",NA,"oro_typeCDR-BioPump",1.4399518324679,0.118755241935324,12.1253749224149,7.75046870903681e-34,"Poisson"
"18",NA,"oro_typeCDR-BC",1.1335547415179,0.101440937535932,11.1745294262129,5.43376020083874e-29,"Poisson"
"19",NA,"oro_typeCDR-OAE",3.07406546171002,0.1142507017706,26.9063157956117,1.85259242040306e-159,"Poisson"
"20",NA,"year",-0.111220287874423,0.00486894946988607,-22.842768971481,1.72444491962998e-115,"Poisson"
"21",NA,"(Intercept)",-443.800757881304,5.69490927893969,-77.929381513156,0,"Poisson"
"22",NA,"publications",-1.26209950014042e-05,2.67380740316915e-05,-0.472023339693243,0.636910129322623,"Poisson"
"23",NA,"oro_typeMRE-Located",0.700286677704746,0.0308594578816755,22.6927731650328,5.2801432343805e-114,"Poisson"
"24",NA,"oro_typeMRE-Bio",3.01037828555376,0.0690844945616396,43.575310272666,0,"Poisson"
"25",NA,"oro_typeEfficiency",1.6041360655141,0.0555859156699311,28.8586784292527,3.94327821768975e-183,"Poisson"
"26",NA,"oro_typeCCS",2.93239702300001,0.0626854475115968,46.7795499498909,0,"Poisson"
"27",NA,"oro_typeCDR-BioPump",4.75060650179087,0.0648079356377623,73.3028518041977,0,"Poisson"
"28",NA,"oro_typeCDR-BC",1.4013543866107,0.0638815711009992,21.9367551933735,1.15879814798169e-106,"Poisson"
"29",NA,"oro_typeCDR-OAE",4.81554965868267,0.067546374016475,71.292496877895,0,"Poisson"
"30",NA,"year",0.218604895589274,0.00283395089691884,77.1378557853448,0,"Poisson"
"31",NA,"(Intercept)",-434.171588660961,1.53266668907949,-283.278544353125,0,"Poisson"
"32",NA,"publications",-0.00145739764645578,6.61658248780429e-06,-220.264411294209,0,"Poisson"
"33",NA,"oro_typeMRE-Located",0.291177910940856,0.00714901790610985,40.7297778191327,0,"Poisson"
"34",NA,"oro_typeMRE-Bio",-0.936583299286803,0.0184010633584454,-50.8983247893088,0,"Poisson"
"35",NA,"oro_typeEfficiency",-1.34256501426683,0.0129576051411335,-103.612125824463,0,"Poisson"
"36",NA,"oro_typeCCS",0.401952493190206,0.0134085883523637,29.9772416474661,1.94335404604719e-197,"Poisson"
"37",NA,"oro_typeCDR-BioPump",0.931107254663975,0.0149279191418275,62.3735462268848,0,"Poisson"
"38",NA,"oro_typeCDR-BC",-0.652056937802718,0.0134443998129384,-48.5002638180398,0,"Poisson"
"39",NA,"oro_typeCDR-OAE",1.17239281425714,0.0157145633677799,74.605497258736,0,"Poisson"
"40",NA,"year",0.216657060860852,0.000763323205296224,283.833976692447,0,"Poisson"
