"","Set","Label","Fleiss_kappa","p.value","N_raters","N_articles","Prop_True"
"_1","1","English","-0.0122","0.723","8","30","0.875"
"_1","1","Population: Coast (land/ocean) or open-ocean","0.0969","0.00499","8","30","0.854166666666667"
"_1","1","Intervention: Mitigation ORO","0.332","0","8","30","0.716666666666667"
"_1","1","Primary research article?","0.333","0","8","30","0.7375"
"_1","1","Outcome: effectiveness, co/dis-benefits","0.199","7.69e-09","8","30","0.616666666666667"
"_1","1","Include","0.414","0","8","30","0.591666666666667"
"_1","1","Upscaling?","0.0484","0.161","8","30","0.233333333333333"
"_1","1","Policy link?","0.273","2.44e-15","8","30","0.05"
"_1","1","Outcome: quantitative?","0.308","0","8","30","0.4625"
"_1","1","Outcome: co/dis benefit?","0.342","0","8","30","0.1375"
"_1","1","Design","0.377","0","8","30","0.558333333333333"
